Resuming: 450 executions already completed
  checkpoint 51/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 51/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 51/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 51/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 51/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 51/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 61/90 STOP r=123 SUCCESS
  checkpoint 61/90 STOP r=2024 SUCCESS
  checkpoint 61/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 61/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 61/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 61/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 61/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 61/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 61/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 61/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 71/90 STOP r=123 SUCCESS
  checkpoint 71/90 STOP r=2024 SUCCESS
  checkpoint 71/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 71/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 71/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 71/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 71/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 71/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 71/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 71/90 VERIFY_TARGETED r=2024 SUCCESS
  checkpoint 81/90 STOP r=123 SUCCESS
  checkpoint 81/90 STOP r=2024 SUCCESS
  checkpoint 81/90 SAMPLE_STANDARD r=123 SUCCESS
  checkpoint 81/90 SAMPLE_STANDARD r=2024 SUCCESS
  checkpoint 81/90 SAMPLE_DIVERSE r=123 SUCCESS
  checkpoint 81/90 SAMPLE_DIVERSE r=2024 SUCCESS
  checkpoint 81/90 CRITIQUE_RETRY r=123 SUCCESS
  checkpoint 81/90 CRITIQUE_RETRY r=2024 SUCCESS
  checkpoint 81/90 VERIFY_TARGETED r=123 SUCCESS
  checkpoint 81/90 VERIFY_TARGETED r=2024 SUCCESS
Tournament v2 complete: 450 new executions
